id,lexeme,translation,note,source,license
zeitung:1,zeitung,газета,,kaikki-ru,CC BY-SA 4.0
zeitung:2,zeitung,"устар. известие, весть, новость",,kaikki-ru,CC BY-SA 4.0
wort:1,wort,"слово, речь",,kaikki-ru,CC BY-SA 4.0
wort:2,wort,глагол,,kaikki-ru,CC BY-SA 4.0
wort:3,wort,"слово, обещание",,kaikki-ru,CC BY-SA 4.0
kind:1,kind,"ребёнок, дитя",,kaikki-ru,CC BY-SA 4.0
kind:2,kind,"ребёнок сын, дочь в семье; чадо, отпрыск",,kaikki-ru,CC BY-SA 4.0
kind:3,kind,"употр. в качестве фам. обращения: детка!, голубчик! и т. п.",,kaikki-ru,CC BY-SA 4.0
fisch:1,fisch,зоол. рыба,,kaikki-ru,CC BY-SA 4.0
fisch:2,fisch,кулин. рыба,,kaikki-ru,CC BY-SA 4.0
fisch:3,fisch,"астрон., астрол. Рыбы",,kaikki-ru,CC BY-SA 4.0
ja-part:1,ja-part,да,,kaikki-ru,CC BY-SA 4.0
ja-part:2,ja-part,"ж, же, ведь, но ведь",,kaikki-ru,CC BY-SA 4.0
ja-part:3,ja-part,"ни в коем случае, не вздумай, не смей, не … а не то",,kaikki-ru,CC BY-SA 4.0
ja-part:4,ja-part,"и чтоб, либо как повел. наклонение с отрицанием",,kaikki-ru,CC BY-SA 4.0
ja-part:5,ja-part,"даже, и даже, больше того, да что там, да что я говорю; (и) вообще",,kaikki-ru,CC BY-SA 4.0
ruhig-noun:1,ruhig-noun,тихий,,kaikki-ru,CC BY-SA 4.0
ruhig-noun:2,ruhig-noun,спокойный,,kaikki-ru,CC BY-SA 4.0
ruhig:1,ruhig,тихо,,kaikki-ru,CC BY-SA 4.0
ruhig:2,ruhig,спокойно,,kaikki-ru,CC BY-SA 4.0
ruhig:3,ruhig,"не раздумывая, запросто, спокойно",,kaikki-ru,CC BY-SA 4.0
hund:1,hund,"зоол. собака, пёс",,kaikki-ru,CC BY-SA 4.0
hund:2,hund,"бран. собака, негодяй",,kaikki-ru,CC BY-SA 4.0
hund:3,hund,"в качестве усилительной приставки : очень, совсем, ужасно",,kaikki-ru,CC BY-SA 4.0
hund:4,hund,"разг., горн. вагонетка, тележка",,kaikki-ru,CC BY-SA 4.0
hund:5,hund,доска на роликах для передвижения мебели,,kaikki-ru,CC BY-SA 4.0
tisch:1,tisch,стол (предмет мебели),,kaikki-ru,CC BY-SA 4.0
tisch:2,tisch,"обед, трапеза, еда; застолье",,kaikki-ru,CC BY-SA 4.0
brot:1,brot,неисч. хлеб (продукт питания),,kaikki-ru,CC BY-SA 4.0
brot:2,brot,"батон, буханка",,kaikki-ru,CC BY-SA 4.0
brot:3,brot,определённый сорт хлеба,,kaikki-ru,CC BY-SA 4.0
brot:4,brot,"кусок, ломоть хлеба; бутерброд",,kaikki-ru,CC BY-SA 4.0
brot:5,brot,"неисч. пропитание, хлеб насущный",,kaikki-ru,CC BY-SA 4.0
brot:6,brot,"разг. рег. дурень, тупица",,kaikki-ru,CC BY-SA 4.0
langsam:1,langsam,"медленный, неторопливый; замедленный",,kaikki-ru,CC BY-SA 4.0
langsam:2,langsam,"медлительный, неповоротливый",,kaikki-ru,CC BY-SA 4.0
langsam-adv:1,langsam-adv,"медленно, тихо",,kaikki-ru,CC BY-SA 4.0
bauch:1,bauch,"живот, брюхо; желудок; чрево; пузо",,kaikki-ru,CC BY-SA 4.0
arbeit:1,arbeit,"труд, работа; дело; занятие; деятельность; действие",,kaikki-ru,CC BY-SA 4.0
arbeit:2,arbeit,"работа, труд, произведение",,kaikki-ru,CC BY-SA 4.0
arbeit:3,arbeit,"работа, изделие",,kaikki-ru,CC BY-SA 4.0
grossvater:1,grossvater,"дедушка, дед",,kaikki-ru,CC BY-SA 4.0
grossvater:2,grossvater,разг. старичок,,kaikki-ru,CC BY-SA 4.0
grossmutter:1,grossmutter,бабушка,,kaikki-ru,CC BY-SA 4.0
grossmutter:2,grossmutter,разг. старушка,,kaikki-ru,CC BY-SA 4.0
gross:1,gross,"большой, крупный",,kaikki-ru,CC BY-SA 4.0
gross:2,gross,"высокий, рослый; высотою в, ростом в",,kaikki-ru,CC BY-SA 4.0
gross:3,gross,великий,,kaikki-ru,CC BY-SA 4.0
gross:4,gross,взрослый,,kaikki-ru,CC BY-SA 4.0
gross:5,gross,"разг. замечательный, прекрасный",,kaikki-ru,CC BY-SA 4.0
gross-adv:1,gross-adv,крупно,,kaikki-ru,CC BY-SA 4.0
gross-adv:2,gross-adv,"по-большому, тж. перен.",,kaikki-ru,CC BY-SA 4.0
gross-adv:3,gross-adv,"особо, особенно",,kaikki-ru,CC BY-SA 4.0
gross-adv:4,gross-adv,"jdn groß ansehen: смотреть удивлённо, делать большие глаза",,kaikki-ru,CC BY-SA 4.0
gross-adv:5,gross-adv,etw (A) groß schreiben: писать с большой буквы (тж. перен.),,kaikki-ru,CC BY-SA 4.0
