id,lexeme,infinitive,pronoun,form,translation
de:buchstabieren:praes.1pl:produce,buchstabieren,buchstabieren,wir,buchstabieren,прогрваривать по буквам
de:buchstabieren:praes.2pl:produce,buchstabieren,buchstabieren,ihr,buchstabiert,прогрваривать по буквам
de:danken:praes.1sg:produce,danken,danken,ich,danke,благодарить
de:danken:praes.2sg:produce,danken,danken,du,dankst,благодарить
de:danken:praes.3sg:produce,danken,danken,er,dankt,благодарить
de:danken:praes.1pl:produce,danken,danken,wir,danken,благодарить
de:danken:praes.2pl:produce,danken,danken,ihr,dankt,благодарить
de:dauern:praes.1sg:produce,dauern,dauern,ich,daure,длиться
de:dauern:praes.2sg:produce,dauern,dauern,du,dauerst,длиться
de:dauern:praes.3sg:produce,dauern,dauern,er,dauert,длиться
de:dauern:praes.1pl:produce,dauern,dauern,wir,dauern,длиться
de:dauern:praes.2pl:produce,dauern,dauern,ihr,dauert,длиться
de:drucken:praes.1sg:produce,drucken,drucken,ich,drucke,печатать
de:drucken:praes.2sg:produce,drucken,drucken,du,druckst,печатать
de:drucken:praes.3sg:produce,drucken,drucken,er,druckt,печатать
de:drucken:praes.1pl:produce,drucken,drucken,wir,drucken,печатать
de:drucken:praes.2pl:produce,drucken,drucken,ihr,druckt,печатать
de:druecken:praes.1sg:produce,druecken,drücken,ich,drücke,нажимать
de:druecken:praes.2sg:produce,druecken,drücken,du,drückst,нажимать
de:druecken:praes.3sg:produce,druecken,drücken,er,drückt,нажимать
de:druecken:praes.1pl:produce,druecken,drücken,wir,drücken,нажимать
de:druecken:praes.2pl:produce,druecken,drücken,ihr,drückt,нажимать
de:duerfen:praes.1sg:produce,duerfen,dürfen,ich,darf,разрешается
de:duerfen:praes.2sg:produce,duerfen,dürfen,du,darfst,разрешается
de:duerfen:praes.3sg:produce,duerfen,dürfen,er,darf,разрешается
de:duerfen:praes.1pl:produce,duerfen,dürfen,wir,dürfen,разрешается
de:duerfen:praes.2pl:produce,duerfen,dürfen,ihr,dürft,разрешается
de:einkaufen:praes.1sg:produce,einkaufen,einkaufen,ich,kaufe ein,покупать
de:einkaufen:praes.2sg:produce,einkaufen,einkaufen,du,kaufst ein,покупать
de:einkaufen:praes.3sg:produce,einkaufen,einkaufen,er,kauft ein,покупать
de:einkaufen:praes.1pl:produce,einkaufen,einkaufen,wir,kaufen ein,покупать
de:einkaufen:praes.2pl:produce,einkaufen,einkaufen,ihr,kauft ein,покупать
de:einladen:praes.1sg:produce,einladen,einladen,ich,lade ein,приглашать
de:einladen:praes.2sg:produce,einladen,einladen,du,lädst ein,приглашать
de:einladen:praes.3sg:produce,einladen,einladen,er,lädt ein,приглашать
de:einladen:praes.1pl:produce,einladen,einladen,wir,laden ein,приглашать
de:einladen:praes.2pl:produce,einladen,einladen,ihr,ladet ein,приглашать
de:einsteigen:praes.1sg:produce,einsteigen,einsteigen,ich,steige ein,входить
de:einsteigen:praes.2sg:produce,einsteigen,einsteigen,du,steigst ein,входить
de:einsteigen:praes.3sg:produce,einsteigen,einsteigen,er,steigt ein,входить
de:einsteigen:praes.1pl:produce,einsteigen,einsteigen,wir,steigen ein,входить
de:einsteigen:praes.2pl:produce,einsteigen,einsteigen,ihr,steigt ein,входить
de:empfehlen:praes.1sg:produce,empfehlen,empfehlen,ich,empfehle,рекомендовать
de:empfehlen:praes.2sg:produce,empfehlen,empfehlen,du,empfiehlst,рекомендовать
de:empfehlen:praes.3sg:produce,empfehlen,empfehlen,er,empfiehlt,рекомендовать
de:empfehlen:praes.1pl:produce,empfehlen,empfehlen,wir,empfehlen,рекомендовать
de:empfehlen:praes.2pl:produce,empfehlen,empfehlen,ihr,empfehlt,рекомендовать
de:enden:praes.1sg:produce,enden,enden,ich,ende,заканчивать
de:enden:praes.2sg:produce,enden,enden,du,endest,заканчивать
de:enden:praes.3sg:produce,enden,enden,er,endet,заканчивать
de:enden:praes.1pl:produce,enden,enden,wir,enden,заканчивать
de:enden:praes.2pl:produce,enden,enden,ihr,endet,заканчивать
de:entschuldigen:praes.1sg:produce,entschuldigen,entschuldigen,ich,entschuldige,извинять
de:entschuldigen:praes.2sg:produce,entschuldigen,entschuldigen,du,entschuldigst,извинять
de:entschuldigen:praes.3sg:produce,entschuldigen,entschuldigen,er,entschuldigt,извинять
